MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
003624959679,Disposables,570241,10,NA
003667806679,Software,569966,10,NA
003667879679,Software,569966,2,NA
003669080679,Hardware,569212,7,NA
003671018679,Disposables,569562,10,NA
003671048679,Software,569966,5,NA
003671056679,Software,569966,4,NA
003680544852,Disposables,569222,7,NA
003680606852,Disposables,569222,6,NA
003680768852,Disposables,569222,8,NA
003680803852,Disposables,569222,5,NA
003680884852,Disposables,569222,10,NA
003680997852,Disposables,569222,1,NA
003681070852,Disposables,569222,7,NA
003681129852,Disposables,569222,6,NA
003682198852,Disposables,569562,1,NA
003682233852,Disposables,569562,10,NA
003711852679,Hardware,570221,2,NA
003711927679,Hardware,570221,10,NA
003716400679,Disposables,570226,1,NA
003727034679,Hardware,570221,2,NA
003727042679,Hardware,570221,9,NA
003733309679,Disposables,570226,2,NA
003733317679,Disposables,570226,2,NA
003738819679,Disposables,569222,10,NA
003738849679,Disposables,569222,3,NA
003739896838,Disposables,569569,5,NA
003739896868,Disposables,569569,3,NA
003739931868,Disposables,569569,10,NA
003751781679,Disposables,569564,1,NA
003752885868,Disposables,569422,6,NA
003754523679,Disposables,570226,4,NA
003754531679,Disposables,570226,9,NA
003755503679,Disposables,569421,4,NA
003755511679,Disposables,570226,4,NA
003757870679,Disposables,569421,10,NA
003760513681,Software,570602,1,NA
003790582679,Hardware,570221,5,NA
003790615679,Hardware,570221,2,NA
003790633679,Hardware,570221,1,NA
003790645679,Hardware,570221,9,NA
003791748679,Disposables,570241,3,NA
003802450868,Disposables,569732,5,NA
003802475868,Disposables,569732,1,NA
003802916868,Disposables,569732,9,NA
003870478679,Hardware,570122,8,x
003958179679,Software,569966,8,NA
003960117679,Software,569967,2,NA
003960144679,Software,569967,7,NA
003961335680,Software,569967,7,NA
003961573679,Software,569966,6,NA
003961589679,Software,569967,5,NA
003961624679,Hardware,569471,2,NA
003965896680,Hardware,569261,10,NA
004167710679,Disposables,569222,6,NA
004343237868,Disposables,569742,9,NA
004349350679,Hardware,570221,6,NA
004354828679,Hardware,569212,3,NA
004359453679,Disposables,569722,4,NA
